"n","pH_t","pH_sal","pH_DIC","pH_AT","station","date","pH_total","pH_NBS","temperature","salinity","Alkalinity","DIC","month","season"
"92",-0.00860800402415083,-0.0369096336436687,-0.00113407669542367,0.00200416334463201,"Museu",2022-07-27,7.29521047432416,7.39416,17.2,2,496.796287460275,878.65095580188,7,"winter"
"93",-0.00926270066006785,-0.023382155398164,-0.00216497295554207,0.00281911635945307,"Museu",2022-08-03,7.74247021196973,7.81302,16,4,656.163958124503,854.329408399981,8,"winter"
"94",-0.00982069426571005,-0.028147998549905,-0.00233712945748238,0.00301865195117184,"Museu",2022-08-10,7.71855999241071,7.76538,13.3,3,630.423217841587,814.20610813339,8,"winter"
"95",-0.00880428371023552,-0.0436583719956974,-0.00102457152493848,0.00197476937833754,"Museu",2022-08-17,7.69323649035668,7.77102,16,1.5,454.957993068697,877.811098849446,8,"winter"
"96",-0.00881876385620669,-0.0371437305031532,-0.0021255637751792,0.00276909917775288,"Museu",2022-08-24,7.64590728915686,7.73116,16.5,2,668.774421762133,871.277126818203,8,"winter"
"97",-0.0123352901888024,-0.0120326611947961,-0.00664575140330664,0.00678583120579093,"Museu",2022-08-30,7.85404499152472,7.87046,14,18,1143.91173193273,1158.26255155818,8,"winter"
"98",-0.00969443420626536,-0.0203751787864559,-0.00345140745933287,0.00401984649987657,"Museu",2022-09-05,7.70455821586116,7.76522,15,5,738.774240725674,859.885165450634,9,"winter"
"99",-0.0127645763906974,-0.0173009648465303,-0.00711360348481972,0.00715096879630567,"Museu",2022-09-13,7.9974506307366,8.0397,16,14,1196.46,1192.165,9,"winter"
"100",-0.00987201470027875,-0.012860596955121,-0.00431610690869587,0.00471802918525447,"Museu",2022-09-21,7.722173106247,7.79374,17,10,958.423620632938,1045.58619606113,9,"winter"
"101",-0.00846639244711813,-0.0205686398802039,-0.00271408316661227,0.00332558912539621,"Museu",2022-09-28,7.72930313189177,7.83892,20,5,695.230696284969,851.505661853947,9,"winter"
"102",-0.0090249298947688,-0.0183932607719897,-0.00352255034424825,0.00400542916897273,"Museu",2022-10-06,7.6559347649182,7.75258,18.5,6,854.545335250788,970.812877058593,10,"spring"
"103",-0.0102377724155049,-0.0168641310217984,-0.00675849280507473,0.0070052732243649,"Museu",2022-10-12,7.85186669756592,7.9519,20,10,1065.75215789216,1100.31250543823,10,"spring"
"104",-0.00926150270253221,-0.0150954506806927,-0.00376991193834112,0.00418416448556624,"Museu",2022-10-19,7.71822186715552,7.8114,18.7,8,964.088360820801,1068.56738523695,10,"spring"
"105",-0.00788414277543131,-0.0386083654397869,-0.00333919670420251,0.00396363104111576,"Museu",2022-10-26,7.7082250133188,7.82784,20.4,2,681.489005427849,808.733238572709,10,"spring"
"106",-0.0136753120422827,-0.0125209517342269,-0.00421081300887614,0.00414457767174198,"Museu",2022-11-03,8.0386423222724,8.10566,19,25,1665.105,1611.465,11,"spring"
"107",-0.0139964346520207,-0.0121785901060367,-0.00286242716636065,0.00274813922121382,"Museu",2022-12-07,7.95542631833099,8.10916,26,31,1907.39969290162,1782.8429536537,12,"spring"
"108",-0.0144519659553165,-0.0122940559849267,-0.00225445887401608,0.00213191277528206,"Museu",2023-01-04,7.88135970563304,8.00922,24,31,2263.70318523353,2081.88926972422,1,"summer"
"109",-0.0143058808777015,-0.0119116804829862,-0.00203687537966294,0.00191782938812128,"Museu",2023-02-01,7.86185697691299,8.03776,28,35,2353.82251003157,2149.29565723427,2,"summer"
"110",-0.013835858324724,-0.0142753397280913,-0.00375256266765465,0.00362165137120092,"Museu",2023-03-01,8.03193794470315,8.19108,26,24,1549.76746002804,1459.46738067488,3,"summer"
"111",-0.0142038305315033,-0.011700474616476,-0.00228568493642145,0.00217853462137761,"Museu",2023-04-04,7.92450074272731,8.04716,24,36,2278.57096130151,2112.03710508632,4,"autumn"
"112",-0.0146017895498349,-0.0124302635502677,-0.00213895028241503,0.00200493562821971,"Museu",2023-05-03,8.05597303356167,8.13804,21,35,2153.35992807479,1946.97943453914,5,"autumn"
"113",-0.0139337696047953,-0.0188620724365311,-0.00588988865892367,0.00575589500952188,"Museu",2023-06-05,7.84319112687659,7.92318,19,17,1160.48571608421,1111.9560218124,6,"autumn"
"114",-0.0135906378980433,-0.0186445810751026,-0.0068314048929964,0.00675165289266315,"Museu",2023-07-10,7.85512508502775,7.91776,17.5,16,1107.63008697342,1077.71194407261,7,"winter"
"115",-0.00921856973325372,-0.0230369237047726,-0.00082411112266402,0.00164189911191805,"Museu",2023-08-01,7.33733437693453,7.42266,16,4,528.303604911829,1053.71598154762,8,"winter"
"116",-0.00899813045481763,-0.0159145370827023,-0.00417725140693465,0.0046705992056976,"Museu",2023-09-04,7.48557433252211,7.59578,19.6,7.5,816.898090671434,912.087744033976,9,"winter"
"117",-0.00907186855661506,-0.0190598032499633,-0.0066934354491289,0.00714608151331276,"Barra",2017-05-08,7.98134540903322,8.09012,20.8,7,793.06469896649,844.662375998977,5,"autumn"
"118",-0.0142415356063681,-0.0122309488115984,-0.00309111710656621,0.00300203258185803,"Barra",2017-05-15,7.88906921745098,7.94986,18.5,27,2124.36034762994,2026.17212707289,5,"autumn"
"119",-0.00884410485513558,-0.0197386509883666,-0.000410885716333379,0.00105544577636895,"Barra",2017-05-22,7.5227959078987,7.6204,18,5,670.204610993955,1724.36176642355,5,"autumn"
"120",-0.00943431149005886,-0.0115908787643424,-0.00204735020222886,0.00251940560816693,"Barra",2017-05-29,7.5911995165958,7.67498,17.6,10,896.842205027191,1102.82677025397,5,"autumn"
"121",-0.0122184312275293,-0.00799100032506861,-0.00406684874681132,0.00415628110957479,"Barra",2017-06-19,8.01806739090284,8.025,15.1,30,1727.43362042206,1749.24863110314,6,"autumn"
"122",-0.0142487515929418,-0.0116214936938605,-0.00305666107076069,0.00297661321746596,"Barra",2017-08-03,7.98029063141182,8.00768,16.5,30,2148.97478148594,2053.75921444218,8,"winter"
"123",-0.0104864374139739,-0.0146871509005483,-0.00616515429786864,0.00642738432625686,"Barra",2017-09-05,7.88486449377313,7.95958,18,11,1094.1299538798,1136.41287307686,9,"winter"
"124",-0.00833665198627427,-0.0287833289058488,-0.00111780111964793,0.00164782755535463,"Barra",2017-10-04,7.59423366191143,7.70376,19.1,3,814.679006744638,1201.22955715064,10,"spring"
"125",-0.00632158123058493,-0.220088368778245,-0.000386967746062741,0.00111584963412932,"Barra",2017-12-07,7.5755523197353,7.7214,22.8,0,593.414206505709,1713.72827688376,12,"spring"
"126",-0.014475520767738,-0.0122750450846317,-0.00221909054685691,0.00209412273770806,"Barra",2018-01-04,7.82012116505063,7.94464,23.8,32,2242.00728040744,2054.04347598416,1,"summer"
"127",-0.0135286663548376,-0.0221789213191827,-0.00505408633647378,0.00490415538167824,"Barra",2018-02-05,7.81271373509125,7.96482,24.9,14,1353.71447192932,1292.22548523703,2,"summer"
"128",-0.0080642599030639,-0.0169662711623386,-0.0032400388707044,0.0036516723261993,"Barra",2018-04-05,7.79175036841411,7.93488,23.6,7,988.336659588041,1112.72130759013,4,"autumn"
"129",-0.013492668582667,-0.0116512736342789,-0.00364974143457291,0.00358864884739416,"Barra",2018-05-03,7.80805891081794,7.90998,21.6,27,1894.21802146397,1832.61863894328,5,"autumn"
"130",-0.0145141617152168,-0.0126000062345697,-0.0034879077510103,0.00339007520753683,"Barra",2018-06-07,8.08442803069251,8.08,14.2,28,1835.67301112663,1746.04165217717,6,"autumn"
"131",-0.013262271647063,-0.00983100320224284,-0.00411480505084954,0.00413076135398977,"Barra",2018-07-03,8.01468451351405,8.00226,13.5,28,1866.34026934949,1852.5248774826,7,"winter"
"132",-0.00885492988366347,-0.0154742258983637,-0.00143953204310108,0.00197911572963569,"Barra",2018-10-02,7.61912983254748,7.72002,19,7,796.245449585348,1094.60212614106,10,"spring"
"133",-0.014718288308623,-0.0130444923398888,-0.00229019903771057,0.00213925517173162,"Barra",2018-12-04,8.48124150639002,8.56954,21.3,31,1980.90039798937,1782.68193721727,12,"spring"
"134",-0.0064787903873886,-0.0389426466477076,-0.000606390404324531,0.00124625967032768,"Barra",2019-01-07,7.86442959713848,8.03511,26,2,675.804191743475,1390.32015724291,1,"summer"
"135",-0.00737640244343028,-0.0210187353721289,-0.00182038943405314,0.00231731516774843,"Barra",2019-02-05,7.8516292539721,8.00828,24.8,5,860.086464353873,1094.62150970539,2,"summer"
"136",-0.00673698535625063,-0.0247204875468869,-0.00101744856382876,0.00163896215611875,"Barra",2019-03-07,8.19780602728846,8.37928,26.8,4,694.537066220402,1119.33700480267,3,"summer"
"137",-0.00732099285145383,-0.0211201994444475,-0.0019277398186331,0.00241401459997704,"Barra",2019-04-03,8.45872470407323,8.61872,25.1,5,877.022701403772,1097.94081540856,4,"autumn"
"138",-0.0146187100563124,-0.0212924726010819,-0.00431795132886799,0.00410729699387218,"Barra",2019-05-07,7.99330410408287,8.08128,19.8,16,1289.28426294382,1194.53079464165,5,"autumn"
"139",-0.00910550098950313,-0.0170260266088978,-0.00025506317815759,0.00103601288822027,"Barra",2019-06-06,7.62980656696822,7.71254,17.2,6,550.525719924351,2245.37772909213,6,"autumn"
"140",-0.0147948985931589,-0.0127258429457667,-0.00215959335566548,0.00202182493170265,"Barra",2019-07-02,8.45664294576165,8.45568,15.7,36,2097.93780890806,1888.98750645131,7,"winter"
"141",-0.0102093048819893,-0.0120180223015178,-0.000295532025767674,0.00100454108778919,"Barra",2019-08-06,7.58705428928349,7.62776,13.4,9,607.753194820594,2071.84047929338,8,"winter"
"142",-0.0149411455913743,-0.0131368302941875,-0.00299005174259914,0.00287419257428797,"Barra",2019-09-04,8.11336965676637,8.09538,13.2,27,2016.38085154154,1894.23948910612,9,"winter"
"143",-0.0139200115720575,-0.0276176108725012,-0.00557145390303158,0.00534748462766505,"Barra",2019-12-09,8.68841750342622,8.82928,24,12,1105.85524232564,1038.8562200805,12,"spring"
"144",-0.00657468473318601,-0.0391719736595641,-0.00158692581828378,0.00218622896769088,"Barra",2020-01-07,8.32715353509945,8.49676,25.7,2,719.255477342811,991.019634330183,1,"summer"
"145",-0.00695449014672545,-0.0324307560837883,-0.00424274762116353,0.00468899348966779,"Barra",2020-02-04,8.09592323044182,8.2684,26.1,3,910.040796292346,1005.01864522512,2,"summer"
"146",-0.0146678365266115,-0.0127747921735619,-0.00206156420043078,0.00192181562245921,"Barra",2020-02-19,8.41574369211548,8.5463,24.2,30,2250.02478677948,2030.78342869746,2,"summer"
"147",-0.0126427819408632,-0.0193378136496756,-0.00662715294520001,0.00655893901861871,"Barra",2020-03-03,8.30310926375181,8.45442,24.9,15,1129.86927667667,1102.45834110018,3,"summer"
"148",-0.0144914337547155,-0.0122853417367975,-0.00225599454138727,0.00213156008774104,"Barra",2020-04-06,8.38262707069799,8.49454,23,32,2225.03630745875,2041.32798039591,4,"autumn"
"149",-0.0147111615864476,-0.012534745726829,-0.00225346601331116,0.00212141691757215,"Barra",2020-05-04,8.60423745194196,8.63898,18,34,2127.10747188011,1934.9359920227,5,"autumn"
"150",-0.0145645735987733,-0.0120662297357467,-0.00266235366644078,0.0025560986607482,"Barra",2020-06-03,8.60387158445463,8.593,15,34,2110.73845117592,1973.00995470377,6,"autumn"
"151",-0.0130227711846377,-0.0154790555495784,-0.00769295780888124,0.00778722902112518,"Barra",2020-07-06,7.85444736831289,7.85116,12,15,1078.60548609895,1082.14228121646,7,"winter"
"152",-0.00949296552724163,-0.0150193029825178,-0.000487791156792519,0.00122317824254437,"Barra",2020-08-04,7.44287780248481,7.52088,16,7,586.929225108607,1474.44294914953,8,"winter"
"153",-0.0139384893794898,-0.0270659183891852,-0.00652685310521254,0.00632601799527202,"Barra",2020-11-03,8.10621033259847,8.21116,21,12,1031.13383570466,980.133456107102,11,"spring"
"154",-0.00899131370419686,-0.00601968991225608,-0.00154172841868376,0.00180318050449364,"Barra",2020-12-09,7.80298773616625,7.92756,23,21.4,1568.57749214183,1831.73282121584,12,"spring"
"155",-0.0123570398817133,-0.0124060536525747,-0.00444489604138561,0.00442635419753597,"Barra",2021-01-07,7.82483927187452,7.9847,26,21.9,1663.14816512279,1636.51967766787,1,"summer"
"156",-0.0144125985965609,-0.012346247540512,-0.00226969619653235,0.00214475018197575,"Barra",2021-02-08,7.82662583489223,7.96744,25,30.9,2223.15097845959,2041.79648765203,2,"summer"
"157",-0.0143197859244451,-0.0240654373754421,-0.00386295235748648,0.00361746507506012,"Barra",2021-03-12,7.89632550381894,8.06086,26,14.4,1275.5685914027,1159.31397267529,3,"summer"
"158",-0.0143546318984526,-0.0124502662333458,-0.00277516387043946,0.00266113595845219,"Barra",2021-05-03,7.92399146226979,8.0144,21,29.1,2053.37113721631,1921.77032362469,5,"autumn"
"159",-0.0144818355073334,-0.0119655852494779,-0.00268367263007934,0.0025810609291367,"Barra",2021-06-01,8.04431805401484,8.02926,14.3,36,2082.62271672012,1948.5281211673,6,"autumn"
"160",-0.0115325148073236,-0.0136467876614353,-0.00733183825573749,0.0075159744332419,"Barra",2021-10-05,7.28289498383728,7.3704,17.4,15,1018.20727092303,1036.11946526672,10,"spring"
"161",-0.00752183188525272,-0.044877467801716,-0.000714010965674332,0.00165700785979388,"Barra",2021-11-03,7.28230491156521,7.41354,21,1.5,457.990247158031,1064.66969339601,11,"spring"
"162",-0.0143086914726681,-0.0119247959568995,-0.0024708060359993,0.00236066032334343,"Barra",2021-12-01,7.87665709857847,7.97626,22,33,2190.76421899367,2038.4454833759,12,"spring"
"163",-0.0145971755226499,-0.0124437506985548,-0.00185003662584385,0.00171255942109944,"Barra",2022-01-07,7.97740332664365,8.08402,23,38,2273.10690326576,2019.55736095346,1,"summer"
"164",-0.0144616530407712,-0.0123241123845691,-0.00201325896417464,0.00187555921949836,"Barra",2022-02-03,7.91273785927096,8.0726,26.8,36,2159.62751490689,1935.60471741392,2,"summer"
"165",-0.0144138531002223,-0.0121434031248226,-0.0020611730655285,0.00193317478109747,"Barra",2022-03-03,7.85538511498961,7.9993,25.6,36,2229.65322286946,2019.7040458286,3,"summer"
"166",-0.0146791212651872,-0.0127998064571457,-0.00224652487831116,0.00210015306988392,"Barra",2022-04-06,7.75216374306301,7.83772,20.8,33,2005.42805825918,1804.28335473283,4,"autumn"
"167",-0.00919418288269008,-0.0119760688453167,-0.00325275104512842,0.00383195028225989,"Barra",2022-05-09,7.92634899431482,8.0111,19,10,718.71,845.57,5,"autumn"
"168",-0.0150357678224125,-0.0137542051429551,-0.00246573424474431,0.00230951771300168,"Barra",2022-06-01,8.10157169547835,8.12938,16.5,28,1924.055,1740.47,6,"autumn"
"169",-0.00970506508071771,-0.0227480217105085,-0.000632869130868823,0.00162436566418107,"Barra",2022-07-06,7.64801643119161,7.70054,14,4,435.048499993258,1119.081298349,7,"winter"
"170",-0.00888229968885116,-0.0364476010778112,-0.000304180003846895,0.00125206370178596,"Barra",2022-08-03,7.6644494584605,7.74202,16,2,453.821746692798,1875.49592844114,8,"winter"
"171",-0.00938484459355394,-0.0199528318767566,-0.0024134258264816,0.00307371219410628,"Barra",2022-09-05,7.73550813537871,7.80384,16,5,647.92692123397,824.969480800711,9,"winter"
"172",-0.00818073540119926,-0.0376216645599283,-0.00207072210952689,0.00275693375410871,"Barra",2022-10-06,7.7438386723674,7.84888,19,2,627.589941720641,835.633101753305,10,"spring"
"173",-0.0134433640328414,-0.0108981266696753,-0.00362784742130423,0.00358400594143092,"Barra",2022-11-03,8.00624849912051,8.07566,19.5,29,1947.64435107856,1894.74889441718,11,"spring"
"174",-0.0139358078106956,-0.0114457061900574,-0.00259669099979738,0.00250340494507526,"Barra",2022-12-07,7.95138443521738,8.0903,25,33,2222.46319742574,2094.53395454989,12,"spring"
"175",-0.014657290309132,-0.0126636945708254,-0.00198567226635332,0.00184524769712305,"Barra",2023-01-04,7.93523447668626,8.07596,25,31,2272.35715961003,2041.21889392961,1,"summer"
"176",-0.0145296007317018,-0.0122693000442518,-0.00184401103914703,0.00170883347729461,"Barra",2023-02-01,7.87984901668748,8.0559,28,35,2339.85325664509,2089.79579816305,2,"summer"
"177",-0.0137372423387294,-0.0136857469939642,-0.00361618724559056,0.00349484499497567,"Barra",2023-03-01,7.98335771526161,8.15426,27,25,1618.6805534341,1527.6113826112,3,"summer"
"178",-0.0142108955928787,-0.0117385599999579,-0.00224558167370708,0.00213677435675779,"Barra",2023-04-04,7.94735555477986,8.06888,24,37,2271.19595470394,2099.08152709999,4,"autumn"
"179",-0.0145841730090162,-0.0124107370414769,-0.00194723399267465,0.00181435120383543,"Barra",2023-05-03,8.04171951828975,8.12004,21,38,2250.80779439087,2017.16923210334,5,"autumn"
"180",-0.0143887314495367,-0.0132341538516545,-0.0032633124304501,0.00314709480380796,"Barra",2023-06-05,7.98474524999707,8.05146,19,26,1854.74887404418,1748.89254878178,6,"autumn"
"181",-0.0135924229945584,-0.0256401556142953,-0.00703297012194543,0.00693454775636814,"Barra",2023-07-10,7.83689483012279,7.90804,17.5,11,1196.55891943205,1166.77311106028,7,"winter"
"182",-0.00960191575657382,-0.0153729845079775,-0.00602147038177248,0.00642312962771769,"Barra",2023-09-04,7.68084253937201,7.77948,19.3,9.1,877.458257159926,933.408917929852,9,"winter"
